iteration,epoch,mse,mae
0,0,2.2623625,1.00693
0,1,2.0793118,0.9616366
0,2,1.9683748,0.90005755
0,3,2.1897388,0.9809239
0,4,2.0334227,0.8944858
0,5,2.0382688,0.90484047
0,6,1.957208,0.8775017
0,7,2.015996,0.8792336
0,8,1.9761971,0.8805901
0,9,1.966749,0.8768022
0,10,1.962582,0.88500893
0,11,1.9208128,0.8670554
0,12,1.9052728,0.8491585
0,13,1.8718036,0.8285586
0,14,1.9441019,0.86449194
0,15,1.8782481,0.837822
0,16,1.898461,0.8507161
0,17,1.9208211,0.85612625
0,18,1.8869904,0.84623075
0,19,1.8813378,0.841045
0,20,1.8868898,0.8482041
0,21,1.8776199,0.84683007
0,22,1.8963025,0.8477475
0,23,1.9125206,0.858997
0,24,1.8996397,0.8497826
0,25,1.9034854,0.85634255
0,26,1.888877,0.84128135
0,27,1.9341125,0.8725208
0,28,1.9033583,0.8507949
0,29,1.9032717,0.8557639
0,30,1.8991114,0.85584563
0,31,1.9235092,0.86807925
0,32,1.9124378,0.86026794
0,33,1.9116981,0.8622323
0,34,1.8991745,0.8565355
0,35,1.9104301,0.8610197
0,36,1.9033211,0.85701793
0,37,1.9041901,0.8563475
0,38,1.9159319,0.8663933
0,39,1.9150497,0.8621749
0,40,1.9160836,0.86532056
0,41,1.9079295,0.8619253
0,42,1.9252828,0.86901236
0,43,1.9142499,0.8635622
0,44,1.9053549,0.8590433
0,45,1.9153663,0.86457765
0,46,1.9115987,0.8627379
0,47,1.9148054,0.8642897
0,48,1.9135182,0.86274177
0,49,1.9093283,0.86279136
1,0,2.1243382,0.97890973
1,1,1.9705089,0.9330616
1,2,1.9951259,0.9239762
1,3,2.0492241,0.93539554
1,4,2.1666787,0.9481463
1,5,2.3980517,1.0183259
1,6,2.3755193,1.0178009
1,7,2.2599735,0.9825482
1,8,2.279097,0.9827644
1,9,2.273861,0.98668563
1,10,2.2770584,0.9660031
1,11,2.25955,0.96361524
1,12,2.2299473,0.9373273
1,13,2.253814,0.974443
1,14,2.1784508,0.9270752
1,15,2.191914,0.9238089
1,16,2.1437044,0.92036384
1,17,2.172044,0.9268288
1,18,2.1725345,0.93684703
1,19,2.2115455,0.9325523
1,20,2.1921983,0.92855257
1,21,2.1669729,0.9248328
1,22,2.1777213,0.9324616
1,23,2.1779835,0.93601084
1,24,2.1682546,0.9336107
1,25,2.1785712,0.9297176
1,26,2.1745474,0.9358676
1,27,2.1626148,0.9340586
1,28,2.151226,0.9222071
1,29,2.1878715,0.9411121
1,30,2.1762333,0.9321411
1,31,2.1567225,0.92957276
1,32,2.1769366,0.9369293
1,33,2.177045,0.93560654
1,34,2.1679995,0.92936176
1,35,2.1617582,0.9336744
1,36,2.1563754,0.92959046
1,37,2.1576393,0.92826366
1,38,2.1680903,0.93441004
1,39,2.1540148,0.9275559
1,40,2.1582046,0.9298669
1,41,2.1525185,0.9280966
1,42,2.1567683,0.9304828
1,43,2.152818,0.9282558
1,44,2.1543434,0.9285237
1,45,2.1511197,0.9272181
1,46,2.1497626,0.92904323
1,47,2.145888,0.92729104
1,48,2.1502206,0.9295031
1,49,2.1496682,0.92856866
2,0,2.1083672,0.9296706
2,1,2.047503,0.9016997
2,2,2.1993809,0.9847128
2,3,1.9795007,0.91121054
2,4,1.8780087,0.8449224
2,5,1.8506541,0.83173734
2,6,1.8880558,0.8480565
2,7,1.8446114,0.8352914
2,8,1.7799305,0.81768566
2,9,1.7678778,0.7954663
2,10,1.7527546,0.81783235
2,11,1.7612507,0.80191624
2,12,1.7711627,0.8071481
2,13,1.755458,0.80625063
2,14,1.7649802,0.8046513
2,15,1.7688276,0.7974439
2,16,1.7735255,0.80165476
2,17,1.7790399,0.80651796
2,18,1.8244312,0.8285977
2,19,1.8114103,0.8164637
2,20,1.7980107,0.8143935
2,21,1.7874912,0.80597526
2,22,1.8017424,0.8139826
2,23,1.8102293,0.82389885
2,24,1.8037623,0.81254536
2,25,1.8129284,0.81549126
2,26,1.7945063,0.81148964
2,27,1.8007845,0.8124219
2,28,1.8177302,0.8181104
2,29,1.8145365,0.8174972
2,30,1.8072996,0.81337506
2,31,1.8093804,0.8124241
2,32,1.807735,0.8126011
2,33,1.8256192,0.8205096
2,34,1.8106203,0.8125315
2,35,1.806536,0.81140614
2,36,1.821529,0.81889933
2,37,1.8050848,0.8125457
2,38,1.811275,0.8161335
2,39,1.8129634,0.8150097
2,40,1.8195398,0.8179044
2,41,1.8119345,0.81412953
2,42,1.8051785,0.8112673
2,43,1.8116469,0.8135449
2,44,1.8182355,0.81662124
2,45,1.8168467,0.8190683
2,46,1.8150349,0.81569546
2,47,1.8174536,0.81697005
2,48,1.8166422,0.81728905
2,49,1.8170877,0.81712425
