iteration,epoch,mse,mae
0,0,0.6322756,0.57229775
0,1,0.66746694,0.5831648
0,2,0.5406096,0.5129163
0,3,0.5699167,0.5138197
0,4,0.5531502,0.5267025
0,5,0.52043927,0.47779214
0,6,0.528415,0.45006746
0,7,0.5300291,0.45745307
0,8,0.5538139,0.47567022
0,9,0.51767194,0.4481322
0,10,0.50883,0.45137873
0,11,0.54683757,0.4637543
0,12,0.5057697,0.45266616
0,13,0.51573646,0.44335532
0,14,0.5018818,0.44538018
0,15,0.50479454,0.44008324
0,16,0.5196731,0.45457804
0,17,0.5011032,0.43610418
0,18,0.5193114,0.44384086
0,19,0.5143679,0.44572955
