iteration,epoch,mse,mae
0,0,2.9228885,1.1404444
0,1,2.4631677,1.0211924
0,2,1.8972571,0.87825364
0,3,1.8943319,0.8996132
0,4,2.1184847,0.96576834
0,5,1.9873878,0.88817966
0,6,2.1149595,0.9484184
0,7,1.8737631,0.8605649
0,8,1.9408597,0.87251604
0,9,1.9643941,0.86559623
0,10,2.083742,0.8984312
0,11,2.1301363,0.9053084
0,12,2.0544615,0.8616561
0,13,2.0665336,0.8951966
0,14,2.0881264,0.8950876
0,15,2.0892007,0.88865757
0,16,2.0453253,0.8704206
0,17,2.0531452,0.8724391
0,18,2.0274997,0.85348934
0,19,2.0357957,0.86711806
0,20,2.1107183,0.8830467
0,21,2.1050584,0.88693225
0,22,2.045392,0.86579394
0,23,2.081855,0.87400085
0,24,2.0655794,0.86387277
0,25,2.0403738,0.8558081
0,26,2.0750008,0.8685268
0,27,2.0664968,0.86490303
0,28,2.0915606,0.87080693
0,29,2.0592487,0.85562795
0,30,2.0671573,0.8679132
0,31,2.0421326,0.85391104
0,32,2.0579758,0.85744286
0,33,2.0381114,0.85604984
0,34,2.059256,0.8568829
0,35,2.0701032,0.86397564
0,36,2.0499508,0.85426
0,37,2.0484633,0.85517776
0,38,2.049488,0.8506451
0,39,2.078338,0.8671472
0,40,2.052375,0.8547205
0,41,2.0582511,0.8589101
0,42,2.0530398,0.8532637
0,43,2.0667574,0.8593466
0,44,2.0497189,0.8520705
0,45,2.0501218,0.85317135
0,46,2.0524101,0.856611
0,47,2.0465553,0.852082
0,48,2.0486805,0.855084
0,49,2.0589042,0.85763353
1,0,2.8459473,1.180601
1,1,2.2483828,0.9672145
1,2,2.3163655,1.0805748
1,3,2.1484334,0.93411446
1,4,2.1132514,0.95940953
1,5,2.0461388,0.9466825
1,6,1.9547311,0.88419193
1,7,1.9434309,0.8671132
1,8,1.9270902,0.87929374
1,9,1.9544137,0.87378156
1,10,1.8271097,0.8157393
1,11,1.8582195,0.8515774
1,12,1.9061098,0.8580824
1,13,1.9113318,0.8572616
1,14,1.8757429,0.8604098
1,15,1.9493089,0.865767
1,16,1.8650056,0.83553576
1,17,1.9387091,0.86770314
1,18,1.9602188,0.8702383
1,19,1.901512,0.8549125
1,20,1.9139149,0.844262
1,21,1.9384569,0.8694684
1,22,1.9020293,0.8548151
1,23,1.9011303,0.84551895
1,24,1.9512475,0.85636306
1,25,1.8967725,0.8387324
1,26,1.9577998,0.8615214
1,27,1.9612534,0.862915
1,28,1.9449008,0.8474568
1,29,1.956558,0.8651332
1,30,1.9517565,0.85558516
1,31,1.9287183,0.8416042
1,32,1.9585991,0.85127693
1,33,1.9631166,0.8628882
1,34,1.9935983,0.86354756
1,35,1.9565854,0.85016406
1,36,1.9710388,0.8664944
1,37,1.9958049,0.8658196
1,38,1.9774196,0.8630461
1,39,1.9791702,0.8624785
1,40,1.9904882,0.86154926
1,41,1.9709355,0.86153924
1,42,1.9540325,0.85436434
1,43,1.9663681,0.85534203
1,44,1.9815276,0.8674993
1,45,1.970072,0.85550016
1,46,1.9746445,0.8611484
1,47,1.9962018,0.8682475
1,48,1.9828703,0.8634885
1,49,1.9711754,0.8597644
2,0,2.5358741,1.1056482
2,1,2.367674,1.0184317
2,2,2.0874681,0.9461144
2,3,2.310125,1.0268416
2,4,1.8717594,0.86622304
2,5,1.9231014,0.8844425
2,6,2.0039623,0.8835655
2,7,2.1926374,0.9698647
2,8,2.0289826,0.89710784
2,9,1.8834713,0.85583276
2,10,1.820818,0.8376223
2,11,1.8885187,0.82466
2,12,1.859833,0.8378358
2,13,1.8426042,0.8460298
2,14,1.8026303,0.82731134
2,15,1.8597531,0.82998157
2,16,1.8107291,0.8105474
2,17,1.908698,0.8428035
2,18,1.8764253,0.8390879
2,19,1.9041193,0.85249496
2,20,1.8736166,0.8300476
2,21,1.8491586,0.825579
2,22,1.8490996,0.8295594
2,23,1.8699069,0.82953453
2,24,1.8788815,0.8213632
2,25,1.8698496,0.8327981
2,26,1.8523293,0.8172884
2,27,1.9273388,0.85439694
2,28,1.8900006,0.82960767
2,29,1.8479173,0.8186677
2,30,1.8679857,0.8220617
2,31,1.8657223,0.8224854
2,32,1.8450323,0.81529814
2,33,1.8780069,0.8271399
2,34,1.8413131,0.8113333
2,35,1.8517275,0.8192197
2,36,1.8666353,0.8201053
2,37,1.8804,0.8326913
2,38,1.879656,0.8311305
2,39,1.8840398,0.82863206
2,40,1.8772155,0.8266305
2,41,1.8741194,0.81882083
2,42,1.8738235,0.82594717
2,43,1.870246,0.8235724
2,44,1.8782135,0.8234961
2,45,1.8800849,0.8262589
2,46,1.8854911,0.8255031
2,47,1.8787494,0.8224787
2,48,1.8797076,0.8273248
2,49,1.8796254,0.82314336
