iteration,epoch,mse,mae
0,0,1.0471747,0.7309733
0,1,1.407233,0.90754646
0,2,1.1567963,0.79741
0,3,1.4269972,0.8840155
0,4,1.1397425,0.7771289
0,5,1.2326158,0.81243896
0,6,1.2790005,0.83154917
0,7,1.2747678,0.847391
0,8,1.3176262,0.8566763
0,9,1.316848,0.86360526
0,10,1.4894365,0.92345154
0,11,1.4704525,0.91214883
0,12,1.4780455,0.90845704
0,13,1.4785893,0.90703255
0,14,1.4495026,0.8923348
0,15,1.4847907,0.91207254
0,16,1.5065737,0.913993
0,17,1.4558842,0.90207136
0,18,1.4575367,0.892389
0,19,1.4598289,0.89896053
