iteration,epoch,mse,mae
0,0,2.3948367,1.0623568
0,1,2.2815273,1.0638587
0,2,2.2930636,1.0277233
0,3,2.2674487,1.0237619
0,4,2.1664865,1.0019714
0,5,1.9709702,0.9223378
0,6,2.0032191,0.9357759
0,7,2.102549,0.9699202
0,8,1.9905517,0.9190112
0,9,2.008955,0.9404451
0,10,2.0553374,0.95597386
0,11,2.1043093,0.95356447
0,12,2.1125836,0.94201255
0,13,2.1263394,0.9567012
0,14,2.0532072,0.9241994
0,15,2.150165,0.97703207
0,16,2.1066258,0.95128006
0,17,2.115138,0.94573975
0,18,2.083163,0.94513667
0,19,2.0729861,0.94094634
0,20,2.131264,0.9500808
0,21,2.1140487,0.948698
0,22,2.0819874,0.9360653
0,23,2.1549792,0.95917475
0,24,2.0874028,0.93695235
0,25,2.0804472,0.9311402
0,26,2.0812826,0.93364066
0,27,2.0758624,0.9359372
0,28,2.076413,0.9303272
0,29,2.095671,0.9390822
0,30,2.081434,0.9337388
0,31,2.0739157,0.9338958
0,32,2.104313,0.9459165
0,33,2.0770173,0.9343436
0,34,2.0558863,0.9267982
0,35,2.0642552,0.9322005
0,36,2.0593398,0.9233062
0,37,2.0780222,0.9352038
0,38,2.055576,0.9285377
0,39,2.0682507,0.92828965
0,40,2.0633054,0.93061626
0,41,2.0554383,0.92988294
0,42,2.047478,0.9276356
0,43,2.0573242,0.9254861
0,44,2.062277,0.9307638
0,45,2.0606966,0.92842054
0,46,2.0695481,0.93096614
0,47,2.069072,0.9318158
0,48,2.0680854,0.93186283
0,49,2.0665722,0.9310164
1,0,2.1288884,0.9830593
1,1,2.2801204,1.0331575
1,2,1.8847402,0.9259724
1,3,1.7825547,0.89217436
1,4,1.8640962,0.9075831
1,5,1.7151363,0.8427864
1,6,1.8509046,0.87870884
1,7,1.7531066,0.8652761
1,8,1.6864631,0.8423506
1,9,1.7669073,0.8649698
1,10,1.763734,0.86627966
1,11,1.853148,0.8869893
1,12,1.68735,0.8435253
1,13,1.852937,0.89126354
1,14,1.8174808,0.8712459
1,15,1.7989216,0.87435913
1,16,1.8002194,0.87133604
1,17,1.8640392,0.88151294
1,18,1.8524328,0.89087504
1,19,1.8449197,0.8800714
1,20,1.8801018,0.883113
1,21,1.8535544,0.88827467
1,22,1.87219,0.89186466
1,23,1.8865474,0.8927429
1,24,1.8403113,0.8842783
1,25,1.8732473,0.8888933
1,26,1.857149,0.8870708
1,27,1.8684658,0.883045
1,28,1.8991704,0.8966598
1,29,1.8655592,0.8842581
1,30,1.8630639,0.8886929
1,31,1.8723724,0.8855728
1,32,1.8671765,0.8893358
1,33,1.8563929,0.8866366
1,34,1.8692515,0.8882828
1,35,1.8485154,0.8819175
1,36,1.8585811,0.8843407
1,37,1.8719196,0.8867462
1,38,1.8598205,0.8845926
1,39,1.8666826,0.88663656
1,40,1.8645407,0.8866991
1,41,1.863706,0.8857373
1,42,1.881721,0.89369065
1,43,1.8686457,0.88877875
1,44,1.8777622,0.89129114
1,45,1.874292,0.8884457
1,46,1.8689089,0.8869378
1,47,1.8718363,0.888793
1,48,1.8670647,0.8872217
1,49,1.8728529,0.8886461
2,0,2.14163,1.0303065
2,1,2.1749547,1.0255501
2,2,2.0978365,1.0067763
2,3,1.924072,0.9429079
2,4,1.966728,0.9284292
2,5,1.99908,0.938003
2,6,1.8671782,0.90614253
2,7,2.0057614,0.9373371
2,8,1.8350952,0.8920997
2,9,1.9154217,0.91291463
2,10,1.8443829,0.8971561
2,11,1.8546612,0.90035677
2,12,1.8226209,0.8810456
2,13,1.835041,0.8877931
2,14,1.9202555,0.9043935
2,15,1.7891226,0.8747024
2,16,1.811129,0.8687389
2,17,1.8181059,0.8824084
2,18,1.8293393,0.8892647
2,19,1.8255514,0.8773864
2,20,1.7910038,0.8732264
2,21,1.8524555,0.88739365
2,22,1.8188431,0.8796993
2,23,1.8269889,0.88253915
2,24,1.8160037,0.88038224
2,25,1.8158156,0.8728141
2,26,1.8267046,0.8839714
2,27,1.7820243,0.8658208
2,28,1.8126041,0.87733227
2,29,1.8065592,0.87562144
2,30,1.809216,0.8775183
2,31,1.8158424,0.88235563
2,32,1.8140067,0.88087845
2,33,1.7986748,0.8746671
2,34,1.7989888,0.8728252
2,35,1.8065703,0.87544256
2,36,1.8014351,0.8742335
2,37,1.7787637,0.86746895
2,38,1.8075131,0.8773049
2,39,1.8077652,0.8780699
2,40,1.8099644,0.87808204
2,41,1.8036675,0.87606484
2,42,1.7972275,0.8721725
2,43,1.799153,0.8750082
2,44,1.8019102,0.8762676
2,45,1.7871555,0.8697604
2,46,1.7961884,0.87297034
2,47,1.7911266,0.87136716
2,48,1.7955859,0.8733289
2,49,1.7977414,0.87328035
