iteration,epoch,mse,mae
0,0,0.6105635,0.5594734
0,1,0.736233,0.5897459
0,2,0.73451924,0.58545816
0,3,0.77628464,0.589486
0,4,0.7459586,0.5829546
0,5,0.73008746,0.5811086
0,6,0.7222738,0.5798224
0,7,0.7202436,0.58132434
0,8,0.7470519,0.5941842
0,9,0.7720433,0.5949166
0,10,0.7831244,0.6022315
0,11,0.8075687,0.6043546
0,12,0.79701215,0.6039746
0,13,0.79964405,0.6050883
0,14,0.8104616,0.6053884
0,15,0.83833563,0.61865455
0,16,0.82063186,0.6087879
0,17,0.84338903,0.6172173
0,18,0.84041023,0.6175361
0,19,0.84313357,0.61388326
