iteration,epoch,mse,mae
0,0,2.4884033,1.3203585
0,1,1.1496527,0.7009124
0,2,1.0773741,0.8672298
0,3,0.99048233,0.8637855
0,4,0.5609628,0.5776419
0,5,0.61892617,0.5703753
0,6,0.62163746,0.54898125
0,7,0.61713374,0.52347046
0,8,0.6402547,0.5444321
0,9,0.59371746,0.52409124
0,10,0.62414575,0.53813964
0,11,0.7102166,0.5543811
0,12,0.60393095,0.5215432
0,13,0.64457256,0.5304839
0,14,0.6221617,0.54454947
0,15,0.6037458,0.5385934
0,16,0.61016285,0.53524435
0,17,0.62193185,0.55190593
0,18,0.642797,0.5510599
0,19,0.63987213,0.54424465
