iteration,epoch,rmse,pcc
0,0,3945.157791521145,0.8121443
0,1,3937.765991015718,0.81286085
0,2,3930.1592843038816,0.8136046
0,3,3922.588048724974,0.8143416
0,4,3916.3836635345115,0.8149412
0,5,3910.0808175790944,0.8155541
0,6,3904.76362920984,0.8160692
0,7,3899.9924358901008,0.81653154
0,8,3895.9548252001073,0.81692153
0,9,3892.4873795556487,0.81725556
0,10,3889.02995617159,0.81759006
0,11,3886.477711244463,0.8178372
0,12,3883.799685874646,0.8180954
0,13,3881.3554333505713,0.81833124
0,14,3879.3330612361706,0.8185269
0,15,3877.279329633087,0.818724
0,16,3875.5884714453364,0.81888705
0,17,3874.1156410205413,0.8190286
0,18,3872.6680725308747,0.81916744
0,19,3871.3854109349536,0.81929135
