iteration,epoch,rmse,pcc
0,0,3720.770753486433,0.8345745
0,1,3695.7046689366293,0.8354474
0,2,3726.9907432136183,0.8335854
0,3,3684.1492912204303,0.83957994
0,4,3686.2501271617475,0.8415235
0,5,3661.3030467307676,0.84570885
0,6,3613.462051827859,0.8486923
0,7,3557.4963106094715,0.85214
0,8,3577.4465754221965,0.8507583
0,9,3548.120065612211,0.8520628
0,10,3582.8953375726733,0.8491642
0,11,3512.346936166756,0.8585603
0,12,3519.8238592293224,0.8566982
0,13,3518.028709376886,0.85684055
0,14,3525.5148560174866,0.8549628
0,15,3497.889935375326,0.8572455
0,16,3510.0980043297936,0.85588235
0,17,3509.995868943438,0.85535675
0,18,3508.8681935917743,0.855476
0,19,3500.240563161338,0.8571283
