REGION,YEAR,WEEK,ILITOTAL
Region 1,1997,40,44
Region 2,1997,40,3
Region 3,1997,40,32
Region 4,1997,40,46
Region 5,1997,40,89
Region 6,1997,40,5
Region 7,1997,40,27
Region 8,1997,40,5
Region 9,1997,40,243
Region 10,1997,40,76
Region 1,1997,41,57
Region 2,1997,41,2
Region 3,1997,41,42
Region 4,1997,41,44
Region 5,1997,41,104
Region 6,1997,41,6
Region 7,1997,41,15
Region 8,1997,41,9
Region 9,1997,41,274
Region 10,1997,41,62
Region 1,1997,42,85
Region 2,1997,42,1
Region 3,1997,42,46
Region 4,1997,42,54
Region 5,1997,42,186
Region 6,1997,42,6
Region 7,1997,42,13
Region 8,1997,42,3
Region 9,1997,42,241
Region 10,1997,42,46
Region 1,1997,43,125
Region 2,1997,43,1
Region 3,1997,43,32
Region 4,1997,43,17
Region 5,1997,43,222
Region 6,1997,43,7
Region 7,1997,43,16
Region 8,1997,43,8
Region 9,1997,43,214
Region 10,1997,43,11
Region 1,1997,44,73
Region 2,1997,44,14
Region 3,1997,44,22
Region 4,1997,44,43
Region 5,1997,44,272
Region 6,1997,44,11
Region 7,1997,44,12
Region 8,1997,44,8
Region 9,1997,44,224
Region 10,1997,44,21
Region 1,1997,45,74
Region 2,1997,45,20
Region 3,1997,45,2
Region 4,1997,45,45
Region 5,1997,45,282
Region 6,1997,45,11
Region 7,1997,45,9
Region 8,1997,45,7
Region 9,1997,45,173
Region 10,1997,45,32
Region 1,1997,46,56
Region 2,1997,46,16
Region 3,1997,46,51
Region 4,1997,46,62
Region 5,1997,46,300
Region 6,1997,46,14
Region 7,1997,46,31
Region 8,1997,46,47
Region 9,1997,46,298
Region 10,1997,46,57
Region 1,1997,47,66
Region 2,1997,47,24
Region 3,1997,47,53
Region 4,1997,47,65
Region 5,1997,47,396
Region 6,1997,47,17
Region 7,1997,47,29
Region 8,1997,47,63
Region 9,1997,47,363
Region 10,1997,47,24
Region 1,1997,48,80
Region 2,1997,48,1
Region 3,1997,48,43
Region 4,1997,48,60
Region 5,1997,48,341
Region 6,1997,48,13
Region 7,1997,48,13
Region 8,1997,48,16
Region 9,1997,48,302
Region 10,1997,48,17
Region 1,1997,49,120
Region 2,1997,49,7
Region 3,1997,49,46
Region 4,1997,49,76
Region 5,1997,49,393
Region 6,1997,49,16
Region 7,1997,49,24
Region 8,1997,49,113
Region 9,1997,49,282
Region 10,1997,49,21
Region 1,1997,50,96
Region 2,1997,50,9
Region 3,1997,50,55
Region 4,1997,50,110
Region 5,1997,50,386
Region 6,1997,50,17
Region 7,1997,50,37
Region 8,1997,50,26
Region 9,1997,50,324
Region 10,1997,50,23
Region 1,1997,51,66
Region 2,1997,51,11
Region 3,1997,51,50
Region 4,1997,51,86
Region 5,1997,51,254
Region 6,1997,51,10
Region 7,1997,51,22
Region 8,1997,51,25
Region 9,1997,51,434
Region 10,1997,51,46
Region 1,1997,52,76
Region 2,1997,52,11
Region 3,1997,52,69
Region 4,1997,52,304
Region 5,1997,52,423
Region 6,1997,52,26
Region 7,1997,52,20
Region 8,1997,52,50
Region 9,1997,52,495
Region 10,1997,52,45
Region 1,1997,53,208
Region 2,1997,53,5
Region 3,1997,53,102
Region 4,1997,53,133
Region 5,1997,53,569
Region 6,1997,53,48
Region 7,1997,53,64
Region 8,1997,53,40
Region 9,1997,53,724
Region 10,1997,53,53
Region 1,1998,1,182
Region 2,1998,1,6
Region 3,1998,1,151
Region 4,1998,1,333
Region 5,1998,1,547
Region 6,1998,1,57
Region 7,1998,1,72
Region 8,1998,1,38
Region 9,1998,1,966
Region 10,1998,1,63
Region 1,1998,2,154
Region 2,1998,2,7
Region 3,1998,2,175
Region 4,1998,2,325
Region 5,1998,2,625
Region 6,1998,2,44
Region 7,1998,2,122
Region 8,1998,2,144
Region 9,1998,2,946
Region 10,1998,2,71
Region 1,1998,3,258
Region 2,1998,3,31
Region 3,1998,3,170
Region 4,1998,3,246
Region 5,1998,3,905
Region 6,1998,3,32
Region 7,1998,3,222
Region 8,1998,3,229
Region 9,1998,3,906
Region 10,1998,3,127
Region 1,1998,4,429
Region 2,1998,4,37
Region 3,1998,4,133
Region 4,1998,4,331
Region 5,1998,4,1277
Region 6,1998,4,29
Region 7,1998,4,318
Region 8,1998,4,218
Region 9,1998,4,562
