,YEAR,WEEK,Region 1,Region 10,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
0,1997,40,44,76,3,32,46,89,5,27,5,243
1,1997,41,57,62,2,42,44,104,6,15,9,274
2,1997,42,85,46,1,46,54,186,6,13,3,241
3,1997,43,125,11,1,32,17,222,7,16,8,214
4,1997,44,73,21,14,22,43,272,11,12,8,224
5,1997,45,74,32,20,2,45,282,11,9,7,173
6,1997,46,56,57,16,51,62,300,14,31,47,298
7,1997,47,66,24,24,53,65,396,17,29,63,363
8,1997,48,80,17,1,43,60,341,13,13,16,302
9,1997,49,120,21,7,46,76,393,16,24,113,282
10,1997,50,96,23,9,55,110,386,17,37,26,324
11,1997,51,66,46,11,50,86,254,10,22,25,434
12,1997,52,76,45,11,69,304,423,26,20,50,495
13,1997,53,208,53,5,102,133,569,48,64,40,724
14,1998,1,182,63,6,151,333,547,57,72,38,966
15,1998,2,154,71,7,175,325,625,44,122,144,946
16,1998,3,258,127,31,170,246,905,32,222,229,906
17,1998,4,429,103,37,133,331,1277,29,318,218,562
18,1998,5,632,88,40,127,208,1158,49,295,178,579
19,1998,6,497,88,11,122,320,895,45,186,120,333
20,1998,7,411,74,5,110,195,660,35,83,64,311
21,1998,8,197,44,11,67,110,433,29,73,64,261
22,1998,9,98,48,7,60,77,249,16,49,60,163
23,1998,10,40,44,12,56,56,313,16,20,32,159
24,1998,11,20,32,15,49,58,234,8,27,27,115
25,1998,12,19,22,21,45,40,158,3,4,0,174
26,1998,13,14,21,9,44,36,141,1,13,23,56
27,1998,14,13,20,18,39,29,160,0,14,25,50
28,1998,15,5,27,1,29,20,95,2,20,13,50
29,1998,16,6,12,2,42,29,96,2,10,18,48
30,1998,17,3,18,9,18,40,110,0,13,7,48
31,1998,18,5,10,1,17,36,97,0,11,2,30
32,1998,19,4,14,1,19,15,73,0,11,0,49
33,1998,20,2,13,1,21,14,63,0,3,0,48
34,1998,21,0,0,0,0,0,0,0,0,0,0
35,1998,22,0,0,0,0,0,0,0,0,0,0
36,1998,23,0,0,0,0,0,0,0,0,0,0
37,1998,24,0,0,0,0,0,0,0,0,0,0
38,1998,25,0,0,0,0,0,0,0,0,0,0
39,1998,26,0,0,0,0,0,0,0,0,0,0
40,1998,27,0,0,0,0,0,0,0,0,0,0
41,1998,28,0,0,0,0,0,0,0,0,0,0
42,1998,29,0,0,0,0,0,0,0,0,0,0
43,1998,30,0,0,0,0,0,0,0,0,0,0
44,1998,31,0,0,0,0,0,0,0,0,0,0
45,1998,32,0,0,0,0,0,0,0,0,0,0
46,1998,33,0,0,0,0,0,0,0,0,0,0
47,1998,34,0,0,0,0,0,0,0,0,0,0
48,1998,35,0,0,0,0,0,0,0,0,0,0
49,1998,36,0,0,0,0,0,0,0,0,0,0
50,1998,37,0,0,0,0,0,0,0,0,0,0
51,1998,38,0,0,0,0,0,0,0,0,0,0
52,1998,39,0,0,0,0,0,0,0,0,0,0
53,1998,40,45,14,23,48,50,103,2,32,42,131
54,1998,41,38,28,14,49,108,142,6,56,55,109
55,1998,42,62,26,19,60,80,141,46,76,118,155
56,1998,43,37,38,0,64,145,417,17,115,110,143
57,1998,44,47,25,32,123,148,127,88,83,144,217
58,1998,45,67,19,20,106,208,147,45,76,125,209
59,1998,46,68,20,16,100,212,156,73,100,212,221
60,1998,47,40,21,9,166,193,342,59,56,105,217
61,1998,48,68,24,18,128,224,255,60,97,95,207
62,1998,49,71,22,12,130,219,268,58,136,106,180
63,1998,50,48,16,21,110,190,191,71,152,99,243
64,1998,51,68,20,0,115,168,156,51,66,115,305
65,1998,52,70,23,5,104,190,243,162,90,105,431
66,1999,1,101,52,9,112,251,202,151,105,185,612
67,1999,2,153,71,13,215,371,344,338,106,247,549
68,1999,3,203,53,37,283,622,642,344,263,514,903
69,1999,4,246,75,35,327,649,1018,374,318,676,827
70,1999,5,563,81,36,306,722,1694,364,560,612,732
71,1999,6,553,114,27,515,602,1937,316,473,550,681
72,1999,7,448,104,15,353,533,1773,378,468,415,433
73,1999,8,473,86,18,382,537,1436,362,316,333,543
74,1999,9,431,59,17,323,506,1186,274,243,315,556
75,1999,10,252,37,17,277,460,753,178,179,243,526
76,1999,11,139,36,9,295,235,590,128,179,153,306
77,1999,12,128,36,12,195,229,330,84,96,124,462
78,1999,13,67,25,6,114,120,208,63,86,97,305
79,1999,14,51,25,0,82,77,116,24,36,37,184
80,1999,15,26,17,7,74,45,69,10,37,36,75
81,1999,16,21,11,0,60,44,33,6,31,16,49
82,1999,17,28,14,0,60,29,40,9,34,13,172
83,1999,18,9,3,13,51,16,20,1,22,14,31
84,1999,19,12,6,10,73,19,15,2,22,9,124
85,1999,20,1,6,13,62,19,26,0,25,4,127
86,1999,21,0,0,0,0,0,0,0,0,0,0
87,1999,22,0,0,0,0,0,0,0,0,0,0
88,1999,23,0,0,0,0,0,0,0,0,0,0
89,1999,24,0,0,0,0,0,0,0,0,0,0
90,1999,25,0,0,0,0,0,0,0,0,0,0
91,1999,26,0,0,0,0,0,0,0,0,0,0
92,1999,27,0,0,0,0,0,0,0,0,0,0
93,1999,28,0,0,0,0,0,0,0,0,0,0
94,1999,29,0,0,0,0,0,0,0,0,0,0
95,1999,30,0,0,0,0,0,0,0,0,0,0
96,1999,31,0,0,0,0,0,0,0,0,0,0
97,1999,32,0,0,0,0,0,0,0,0,0,0
98,1999,33,0,0,0,0,0,0,0,0,0,0
99,1999,34,0,0,0,0,0,0,0,0,0,0
100,1999,35,0,0,0,0,0,0,0,0,0,0
101,1999,36,0,0,0,0,0,0,0,0,0,0
102,1999,37,0,0,0,0,0,0,0,0,0,0
103,1999,38,0,0,0,0,0,0,0,0,0,0
104,1999,39,0,0,0,0,0,0,0,0,0,0
105,1999,40,22,20,0,73,246,109,8,55,92,166
106,1999,41,50,19,17,74,320,109,68,70,103,167
107,1999,42,30,18,20,82,348,170,44,56,66,233
108,1999,43,40,10,11,56,287,194,44,79,104,264
109,1999,44,95,10,23,80,432,189,123,99,92,427
110,1999,45,69,14,30,77,405,250,114,92,82,437
111,1999,46,78,18,16,82,457,268,148,72,161,401
112,1999,47,86,16,30,47,375,291,211,52,122,603
113,1999,48,136,28,28,78,451,445,367,149,227,575
114,1999,49,166,39,71,93,555,545,369,182,481,763
115,1999,50,224,39,63,130,639,1097,401,346,523,746
116,1999,51,244,56,89,207,810,1282,551,368,733,828
