YEAR,WEEK,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020,40,984,1589,1917,5853,1610,1819,620,649,675,750
2020,41,1162,1706,2441,7045,1911,1566,731,834,899,849
2020,42,1017,1484,1958,6658,1730,1554,574,707,856,697
2020,43,1079,1623,2088,6998,1793,1544,615,776,887,730
2020,44,1171,1558,2154,6535,2148,1705,686,897,948,752
2020,45,1320,1873,2399,7126,2576,2092,977,890,1214,903
2020,46,1416,2139,2830,7507,2716,2178,775,873,1209,955
2020,47,1293,2066,3017,7853,2430,2157,765,770,1464,894
2020,48,1230,2064,3272,7594,1903,1770,640,552,1472,816
2020,49,1340,2078,3284,8345,1734,1822,653,604,1695,696
2020,50,1263,2222,3038,8153,1679,2237,589,579,1661,682
2020,51,1077,1994,2776,8547,1396,1783,551,512,1621,617
2020,52,1069,2028,2836,7923,1175,1898,528,442,1402,535
2020,53,1060,2169,3206,9873,1271,1867,528,449,1451,549
2021,1,1115,2367,3209,9642,1454,1941,473,490,1475,545
2021,2,916,1975,2634,8180,1284,1388,427,463,1259,492
2021,3,783,2118,2351,7790,1170,1730,442,500,1042,424
2021,4,757,1805,2160,7426,1117,1399,406,498,883,445
2021,5,586,1714,1830,6883,1093,1892,407,473,812,408
2021,6,522,1706,1689,6463,990,825,317,527,684,356
2021,7,512,1503,1481,5851,914,618,293,511,559,349
2021,8,522,1521,1519,5986,1013,1031,311,466,641,334
2021,9,539,1532,1517,5823,975,862,333,452,641,326
2021,10,698,1837,1585,6244,949,936,333,550,606,339
2021,11,629,2021,1673,6406,1099,1016,329,452,607,342
2021,12,670,1982,1893,6716,1213,1010,376,448,664,382
2021,13,697,1977,1956,6956,1209,1176,437,534,646,405
2021,14,824,2087,2003,7973,1496,1464,452,569,705,527
2021,15,738,1956,2066,9036,1482,1435,425,566,755,706
2021,16,693,1924,1968,9332,1490,1358,479,612,735,714
2021,17,702,1816,2118,9500,1558,1759,490,716,795,645
2021,18,705,1843,2022,9650,1486,1626,487,692,807,612
2021,19,781,1831,2012,9554,1598,1786,524,738,908,635
2021,20,892,2025,2114,9922,1645,1856,596,761,848,603
2021,21,807,1777,1933,9333,1383,1789,497,739,853,564
2021,22,906,1831,1867,9410,1504,1817,673,806,777,552
2021,23,927,1929,1934,8124,1576,1748,674,813,880,577
2021,24,1070,2198,2133,7813,1474,1807,742,792,947,603
2021,25,1046,2162,2350,7957,1495,1791,712,839,922,616
2021,26,965,2237,2274,8371,1376,1794,583,853,1054,585
2021,27,1107,2197,2482,9593,1469,2193,788,806,1075,661
2021,28,1072,2386,2663,11057,1659,2546,931,902,1331,714
2021,29,1230,2809,2985,14311,1859,3182,932,996,1372,869
2021,30,1477,2989,3478,17202,2036,3354,1036,989,1609,1025
2021,31,1504,3108,3987,18422,2285,3336,1077,926,1910,1201
2021,32,1541,3168,4097,19975,2456,3416,1043,1022,1936,1413
2021,33,1543,3119,4661,21495,2751,3400,1040,1222,2164,1326
2021,34,1531,3082,5114,20189,3178,3784,1101,1601,2131,1347
2021,35,1502,2810,5328,17987,2964,3452,1255,1783,2388,1395
2021,36,1743,3144,6119,16276,3010,2846,1305,1687,1976,1315
2021,37,1887,3503,6260,12979,3091,2535,1189,1639,1867,1243
2021,38,1889,4030,6025,11487,2736,2231,1064,1540,1665,1309
2021,39,1978,4267,2330,11116,2639,2238,975,1679,1587,1140
2021,40,2037,4511,5736,11730,6301,2687,1124,1721,2438,1250
2021,41,2067,4094,4982,11738,5879,2491,1063,1815,2230,1279
2021,42,1800,3855,4030,11489,5596,2496,969,1785,2476,1218
2021,43,1802,3711,4596,11880,5666,2427,1008,1829,2531,1189
2021,44,2296,3554,4146,13895,6210,2985,1084,2107,2525,1228
2021,45,2297,4245,4694,15312,6959,3484,1189,2109,2671,1203
2021,46,2658,4251,5230,16729,7094,3835,1240,2190,2626,1223
2021,47,2589,3972,4741,15058,6579,3492,1216,1855,2652,1170
2021,48,3646,5073,6069,17928,7793,4005,1752,2084,2971,1408
2021,49,4004,5524,6549,18608,7948,4359,1772,2117,2863,1325
2021,50,3957,6865,7527,22179,8882,4579,1874,2313,2932,1437
2021,51,4249,9840,10631,28956,9865,5394,2104,2550,3890,1746
2021,52,6147,12215,16964,43523,11653,9045,2919,3231,5915,2250
2022,1,4445,7536,12746,35304,9458,8452,2533,3203,6552,3033
2022,2,2546,4016,8319,26625,7190,7275,2536,2605,5176,2895
2022,3,1627,2615,5335,18431,5344,5572,2084,1971,3188,2331
2022,4,1074,1998,3606,13413,3944,3720,1484,1539,2465,1567
2022,5,899,1551,2584,10333,2814,2453,1114,1125,1901,1057
2022,6,795,1757,2356,9072,2812,2233,888,1111,1644,1063
2022,7,742,1933,2342,9072,3023,2486,803,1182,1493,870
2022,8,834,1816,2196,9028,2852,2616,832,1261,1401,773
2022,9,880,2040,2576,8593,3671,3078,999,1512,1559,893
2022,10,1295,2378,2881,8600,4068,3602,948,1701,1593,1011
2022,11,1522,2820,3115,9191,5030,3929,1038,1940,1729,1045
2022,12,1964,3166,3248,9475,4973,3520,973,2032,1931,1141
2022,13,2612,3793,3614,10080,5158,3523,1002,2021,1902,1117
2022,14,3382,4751,3918,10778,5605,3644,972,2096,1977,1021
2022,15,3971,4771,3987,12532,5497,3839,918,2181,2104,1166
