YEAR,WEEK,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020,40,408,54,107,180,488,226,407,21,100,2746
2020,41,435,24,160,189,676,342,466,15,129,3307
2020,42,464,27,140,171,650,297,470,45,123,3214
2020,43,500,30,130,204,642,326,476,62,109,3174
2020,44,404,25,125,170,729,409,549,50,99,3206
2020,45,535,28,188,232,853,410,545,72,122,3314
2020,46,507,37,195,235,871,369,581,59,139,3414
2020,47,573,34,244,207,1084,351,545,74,131,3541
2020,48,515,30,201,169,1125,201,438,96,104,3513
2020,49,603,17,274,180,1237,240,538,79,146,3777
2020,50,638,23,235,175,1337,216,537,77,152,3539
2020,51,592,17,205,154,1267,177,377,70,147,3964
2020,52,532,25,188,184,1070,142,393,60,108,3809
2020,53,664,15,219,183,1070,131,348,85,103,4767
2021,1,616,27,197,150,1131,178,393,72,115,4695
2021,2,502,16,172,148,975,158,369,63,122,3965
2021,3,438,23,180,147,760,192,253,53,139,4033
2021,4,515,14,100,162,665,230,232,28,142,3885
2021,5,521,9,87,141,646,225,183,30,98,3632
2021,6,482,14,80,150,536,245,176,31,135,3582
2021,7,320,5,73,80,455,242,156,50,73,3502
2021,8,391,10,81,106,516,238,161,28,109,3408
2021,9,341,1,95,79,502,207,170,33,103,3456
2021,10,373,13,76,102,466,269,279,33,117,3594
2021,11,352,13,76,105,462,190,234,27,128,3820
2021,12,382,14,82,79,501,205,240,28,107,4146
2021,13,326,15,107,105,491,252,231,48,81,4469
2021,14,439,18,97,101,516,313,312,39,101,5145
2021,15,464,18,90,120,625,333,262,54,110,5845
2021,16,534,13,108,110,572,376,269,33,141,5908
2021,17,612,13,124,162,614,412,257,35,140,5850
2021,18,673,21,97,153,627,388,247,42,157,5786
2021,19,692,26,101,158,709,428,298,29,165,5741
2021,20,640,28,81,220,670,412,383,54,168,5569
2021,21,587,18,103,212,708,400,324,35,85,5261
2021,22,540,24,98,254,618,391,338,41,76,5281
2021,23,498,22,68,205,717,404,312,35,67,4641
2021,24,412,25,66,245,705,403,369,38,85,4478
2021,25,432,29,65,207,773,421,342,43,73,4675
2021,26,452,29,88,259,805,443,306,46,89,4920
2021,27,460,41,98,277,841,370,363,43,75,5780
2021,28,555,33,83,302,1096,452,332,52,82,6797
2021,29,694,42,111,319,1157,488,446,48,95,8844
2021,30,778,55,138,291,1305,490,531,57,293,10729
2021,31,917,42,222,283,1457,421,538,62,289,11279
2021,32,928,55,212,208,1492,509,560,66,113,11419
2021,33,1058,44,267,246,1620,635,584,68,318,11606
2021,34,1324,65,257,251,1632,858,582,76,286,10734
2021,35,1112,53,219,329,1881,991,520,66,131,9542
2021,36,967,0,191,274,1543,872,601,102,124,8299
2021,37,704,47,219,234,1343,870,701,109,153,6772
2021,38,659,41,171,179,1254,794,618,102,430,6128
2021,39,699,44,195,192,1175,851,713,102,155,6066
2021,40,761,44,200,260,1971,1012,775,121,330,6106
2021,41,743,46,179,218,1828,1021,832,108,308,6223
2021,42,772,41,188,220,2023,917,676,109,289,6395
2021,43,767,43,208,209,2044,945,661,94,332,6495
2021,44,856,45,286,274,2006,1056,794,87,95,7710
2021,45,985,53,276,342,2157,1112,773,88,122,7877
2021,46,1184,46,254,379,2118,1123,791,107,304,8244
2021,47,1011,39,312,408,2073,887,888,98,77,7471
2021,48,1321,63,319,502,2358,1120,1200,156,149,8008
2021,49,1518,62,239,520,2345,1134,1352,212,347,8541
2021,50,1671,106,252,433,2366,1226,1324,235,361,10798
2021,51,2033,183,253,445,3243,1224,1550,180,105,14231
2021,52,3445,128,252,589,5210,1636,2444,288,111,20459
2022,1,2709,130,337,545,5700,1535,1591,210,216,17674
2022,2,2410,108,404,560,4320,1088,887,131,223,11746
2022,3,1795,102,340,483,2584,862,583,68,137,8155
2022,4,1213,63,225,289,1958,622,358,62,75,5922
2022,5,756,47,184,204,1503,500,300,36,44,5104
2022,6,684,42,175,200,1292,459,269,50,61,4486
2022,7,706,32,177,268,1109,539,256,39,75,4475
2022,8,646,41,169,346,1038,580,312,36,0,4550
2022,9,610,35,130,318,1260,811,303,58,86,4289
2022,10,656,15,142,507,1291,929,434,54,184,4253
2022,11,606,55,135,537,1383,1126,462,83,82,4604
2022,12,644,29,154,344,1559,1199,492,102,75,4648
2022,13,572,25,115,341,1556,1231,717,70,208,4945
2022,14,541,32,140,301,1614,1394,775,108,232,5479
2022,15,646,37,141,295,1704,1510,870,112,220,6863
2022,16,707,60,133,259,1921,1905,811,117,183,7654
2022,17,704,40,142,212,2210,1835,885,100,225,8240
2022,18,739,54,152,204,2419,1952,1090,121,299,9574
2022,19,762,68,187,192,2603,1822,1098,122,266,12238
2022,20,703,76,149,155,3040,1608,996,146,283,14478
2022,21,719,91,165,172,3017,1383,793,130,241,17313
2022,22,642,70,133,174,3067,1128,758,136,248,17372
2022,23,650,53,118,136,2688,899,677,116,307,14194
2022,24,704,1,113,144,2451,718,606,91,290,12108
2022,25,743,32,110,149,2399,591,643,74,255,10253
2022,26,795,0,106,167,2244,563,609,58,250,8841
2022,27,876,26,105,214,2202,464,537,74,203,8568
2022,28,861,28,109,168,2136,456,462,66,233,8096
2022,29,789,60,98,158,1993,426,506,69,221,7833
2022,30,827,50,73,141,1828,399,535,73,167,7520
2022,31,774,27,106,135,1619,425,574,57,246,6370
2022,32,790,47,76,119,1534,408,528,65,221,5884
2022,33,979,46,106,126,1623,439,492,52,212,6292
2022,34,1277,65,101,181,1949,831,496,55,166,7530
2022,35,1207,1,95,214,2218,990,465,240,201,8019
