REGION,YEAR,WEEK,ILITOTAL
Alabama,2020,40,408
Alaska,2020,40,54
Arizona,2020,40,107
Arkansas,2020,40,180
California,2020,40,488
Colorado,2020,40,226
Connecticut,2020,40,407
Delaware,2020,40,21
District of Columbia,2020,40,100
Florida,2020,40,2746
Georgia,2020,40,1091
Hawaii,2020,40,26
Idaho,2020,40,133
Illinois,2020,40,590
Indiana,2020,40,481
Iowa,2020,40,90
Kansas,2020,40,114
Kentucky,2020,40,141
Louisiana,2020,40,862
Maine,2020,40,65
Maryland,2020,40,334
Massachusetts,2020,40,431
Michigan,2020,40,59
Minnesota,2020,40,207
Mississippi,2020,40,164
Missouri,2020,40,302
Montana,2020,40,70
Nebraska,2020,40,114
Nevada,2020,40,49
New Hampshire,2020,40,13
New Jersey,2020,40,360
New Mexico,2020,40,168
New York,2020,40,406
North Carolina,2020,40,747
North Dakota,2020,40,60
Ohio,2020,40,107
Oklahoma,2020,40,44
Oregon,2020,40,451
Pennsylvania,2020,40,477
Rhode Island,2020,40,39
South Carolina,2020,40,126
South Dakota,2020,40,69
Tennessee,2020,40,430
Texas,2020,40,565
Utah,2020,40,190
Vermont,2020,40,29
Virginia,2020,40,817
Washington,2020,40,112
West Virginia,2020,40,168
Wisconsin,2020,40,166
Wyoming,2020,40,34
Commonwealth of the Northern Mariana Islands,2020,40,X
Puerto Rico,2020,40,84
Virgin Islands,2020,40,0
New York City,2020,40,739
Alabama,2020,41,435
Alaska,2020,41,24
Arizona,2020,41,160
Arkansas,2020,41,189
California,2020,41,676
Colorado,2020,41,342
Connecticut,2020,41,466
Delaware,2020,41,15
District of Columbia,2020,41,129
Florida,2020,41,3307
Georgia,2020,41,1226
Hawaii,2020,41,25
Idaho,2020,41,149
Illinois,2020,41,739
Indiana,2020,41,544
Iowa,2020,41,114
Kansas,2020,41,141
Kentucky,2020,41,332
Louisiana,2020,41,339
Maine,2020,41,91
Maryland,2020,41,408
Massachusetts,2020,41,488
Michigan,2020,41,70
Minnesota,2020,41,256
Mississippi,2020,41,206
Missouri,2020,41,346
Montana,2020,41,96
Nebraska,2020,41,130
Nevada,2020,41,33
